Country,Value
Bhutan,2.455970560954745
Zimbabwe,0.7205424458115336
Micronesia,0.4766252761429434
Iraq,0.3839276615778176
American Samoa,0.33596066235891886
Armenia,0.30928945549284925
Myanmar,0.2866874824917445
Samoa,0.23790455639056585
Malawi,0.17857627557045896
