Row,Column,Value
AGO,F2007,0.885
AGO,F2008,0.501
AGO,F2009,0.708
AGO,F2010,1.194
AGO,F2011,0.88
AGO,F2012,0.552
AGO,F2013,1.044
AGO,F2014,0.828
AGO,F2015,1.331
AGO,F2016,1.609
AGO,F2017,0.87
AGO,F2018,1.395
AGO,F2019,1.752
AGO,F2020,1.162
AGO,F2021,1.553
AGO,F2022,1.212
AIA,F1961,0.086
AIA,F1962,-0.024
AIA,F1963,0.234
AIA,F1964,0.189
AIA,F1965,-0.365
AIA,F1966,-0.001
AIA,F1967,-0.257
AIA,F1968,-0.2
AIA,F1969,0.317
AIA,F1970,0.082
AIA,F1971,-0.269
AIA,F1972,-0.179
AIA,F1973,0.17
AIA,F1974,-0.37
AIA,F1975,-0.334
AIA,F1976,-0.426
AIA,F1977,0.096
AIA,F1978,0.13
AIA,F1979,0.034
AIA,F1980,0.698
AIA,F1981,0.532
AIA,F1982,0.097
AIA,F1983,0.524
AIA,F1984,0.105
AIA,F1985,0.006
AIA,F1986,0.013
AIA,F1987,0.569
AIA,F1988,0.457
AIA,F1989,-0.002
AIA,F1990,0.432
AIA,F1991,0.441
AIA,F1992,0.365
AIA,F1993,0.535
AIA,F1994,0.575
AIA,F1995,0.651
AIA,F1996,0.35
AIA,F1997,0.459
AIA,F1998,1.06
AIA,F1999,0.532
AIA,F2000,0.264
AIA,F2001,0.587
AIA,F2002,0.706
AIA,F2003,0.816
AIA,F2004,0.521
AIA,F2005,0.828
AIA,F2006,0.691
AIA,F2007,0.957
AIA,F2008,0.411
AIA,F2009,0.566
AIA,F2010,1.09
AIA,F2011,0.489
AIA,F2012,0.64
AIA,F2013,0.77
AIA,F2014,0.814
AIA,F2015,1.051
AIA,F2016,1.125
AIA,F2017,0.96
AIA,F2018,0.664
AIA,F2019,0.843
AIA,F2020,1.224
AIA,F2021,0.893
AIA,F2022,0.839
ALB,F1961,0.627
ALB,F1962,0.326
ALB,F1963,0.075
ALB,F1964,-0.166
ALB,F1965,-0.388
ALB,F1966,0.559
ALB,F1967,-0.074
ALB,F1968,0.081
ALB,F1969,-0.013
ALB,F1970,-0.106
ALB,F1971,-0.195
ALB,F1972,-0.069
ALB,F1973,-0.288
ALB,F1974,-0.139
ALB,F1975,-0.211
ALB,F1976,-0.683
ALB,F1977,0.545
ALB,F1978,-0.814
ALB,F1979,0.203
ALB,F1980,-0.414
ALB,F1981,-0.351
ALB,F1982,0.173
ALB,F1983,-0.128
ALB,F1984,-0.27
ALB,F1985,-0.103
ALB,F1986,0.569
ALB,F1987,-0.106
ALB,F1988,0.37
ALB,F1989,-0.066
ALB,F1990,0.795
ALB,F1991,-0.269
ALB,F1992,0.106
ALB,F1993,0.076
ALB,F1994,1.33
ALB,F1995,-0.172
ALB,F1996,-0.038
ALB,F1997,0.075
ALB,F1998,0.795
ALB,F1999,0.67
ALB,F2000,1.065
ALB,F2001,1.532
ALB,F2002,0.492
ALB,F2003,0.97
ALB,F2004,0.444
ALB,F2005,0.189
ALB,F2006,0.345
ALB,F2007,1.316
ALB,F2008,0.978
ALB,F2009,0.91
ALB,F2010,1.191
ALB,F2011,1.055
ALB,F2012,1.487
ALB,F2013,1.333
ALB,F2014,1.198
ALB,F2015,1.569
ALB,F2016,1.464
ALB,F2017,1.121
ALB,F2018,2.028
ALB,F2019,1.675
ALB,F2020,1.498
ALB,F2021,1.536
ALB,F2022,1.518
AND,F1961,0.736
AND,F1962,0.112
AND,F1963,-0.752
AND,F1964,0.308
AND,F1965,-0.49
AND,F1966,0.415
AND,F1967,0.637
AND,F1968,0.018
AND,F1969,-0.137
AND,F1970,0.121
AND,F1971,-0.326
AND,F1972,-0.499
AND,F1973,0.025
AND,F1974,-0.371
AND,F1975,0.246
AND,F1976,-0.045
AND,F1977,-0.093
AND,F1978,-0.163
AND,F1979,0.058
AND,F1980,-0.188
AND,F1981,0.178
AND,F1982,1.044
AND,F1983,0.859
AND,F1984,-0.157
AND,F1985,0.059
AND,F1986,0.387
AND,F1987,0.397
AND,F1988,0.883
AND,F1989,1.162
AND,F1990,1.736
AND,F1991,0.231
AND,F1992,0.386
AND,F1993,0.174
AND,F1994,1.508
AND,F1995,1.279
AND,F1996,0.57
AND,F1997,1.788
AND,F1998,1.018
AND,F1999,1.055
AND,F2000,1.05
AND,F2001,1.48
AND,F2002,0.835
AND,F2003,1.949
AND,F2004,0.936
AND,F2005,0.851
AND,F2006,1.485
AND,F2007,1.024
AND,F2008,0.946
AND,F2009,1.413
AND,F2010,0.471
AND,F2011,1.677
AND,F2012,1.265
AND,F2013,0.831
AND,F2014,1.946
AND,F2015,1.69
AND,F2016,1.99
AND,F2017,1.925
AND,F2018,1.919
AND,F2019,1.964
AND,F2020,2.562
AND,F2021,1.533
AND,F2022,3.243
ARE,F1961,-0.285
ARE,F1962,0.538
ARE,F1963,0.369
ARE,F1964,-0.287
ARE,F1965,0.211
ARE,F1966,0.276
ARE,F1967,-0.057
ARE,F1968,-0.616
ARE,F1969,0.574
ARE,F1970,0.422
ARE,F1971,-0.151
ARE,F1972,-0.801
ARE,F1973,-0.329
ARE,F1974,-0.46
ARE,F1975,-0.332
ARE,F1976,-0.562
ARE,F1977,0.391
ARE,F1978,0.037
ARE,F1979,0.445
